產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-109年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-108年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-109年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-108年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
其他,9919,康那香,360033,552,652,540,573,461,4.5,855,3.23,,V,,本公司屬傳統製造業，廠區位於台南又產線同仁比例達五成，使平均薪資較其他區域略低。109年獲利較往年佳，此營運績效亦反應給員工，如提高年終&#22892;金基數以及將於110年下半年調薪，故平均薪資已較往年提高。
運動休閒,9921,巨大,1956831,2680,730,647,605,545,13.19,809,4.45,,V,,"我司為勞力技術密集工業,2020全球對自行車需求激增,急徵新人與外勞5%,來增加生產。
上述員工薪資為平均值以下,薪資水平自然下拉;但相較於去年,本司平均薪資已巨幅成長12.8%,反應我司積極回饋員工工作貢獻的努力"
居家生活,9924,福興,711325,1234,576,577,488,480,4.37,664,5.27,,V,,"1.屬勞力密集產業，基層人力佔比大， 總數1,234人直接853人佔69.12%，移工又佔直接人員32.59%，影響平均薪。
2.依法管制加班之時數，但基層人力均薪已超過政府期望達月薪30K目標。"
其他,9925,新保,992564,1547,642,646,587,601,2.31,855,3.23,,,V,109年度EPS較前一年度成長9%，薪資總額較前一年度增加，薪資平均數及薪資中位數與前一年度相較相當，本公司經營績效與員工薪酬符合關聯與合理之一致性。
油電燃氣業,9926,新海,189428,157,"1,207","1,130","1,297","1,224",2.34,1117,0.99,,,,
其他,9927,泰銘,97528,140,697,683,658,652,1.68,855,3.23,,,,
其他,9928,中視,235061,342,687,673,620,587,-0.18,855,3.23,,,,
其他,9929,秋雨,58374,114,512,513,474,478,6.94,855,3.23,,V,V,"1.108年林口廠關廠資遣,提升薪資平均.
2.109年度新增口罩生產業務,增聘臨時工與台南廠員工固定薪資加班費較低.
3.公司EPS較前一年度增加,主係處分固定資產利益增加及投資減少所致.
上列為影響原因"
綠能環保,9930,中聯資源,335320,244,"1,374","1,418","1,285","1,329",3.07,797,3.81,,,,
油電燃氣業,9931,欣高,83809,97,864,875,813,843,1.73,1117,0.99,,V,,1.民生消費因地域不同造成南北薪資水平差異。2.公司自110年2月起全面調漲薪資5％。3.公司近年業外投資收入增加，採漸次調整薪資方式逐年提升員工待遇，避免因市場景氣反轉，造成人事費用突增過鉅影響公司營運。
其他,9933,中鼎,2927472,2565,"1,141","1,173","1,022","1,047",1.01,855,3.23,,,,
居家生活,9934,成霖,83750,125,670,635,647,614,0.81,664,5.27,,,,
居家生活,9935,慶豐富,338903,549,617,571,617,499,2.15,664,5.27,,,,
油電燃氣業,9937,全國,463626,976,475,490,398,384,2.57,1117,0.99,V,V,V,因加油站業現場員工招募不易且流動性高，員工身分常態性由部分工時員工轉換至全時員工，本統計資料為滿6個月之未年化全時員工平均薪資，未採計部分工時期間薪資，以致低於油電燃氣業同業，然與加油站同業薪資相當．
其他,9938,百和,604303,967,625,609,486,479,5.21,855,3.23,,V,,"1.本公司109年度員工薪資平均數超過50萬元，惟因產業別為其它，難以找到同產業別比較
2.109年度員工薪酬較108年薪酬增加2.6%，主要為因應未來營運成長及持續強化競爭力，依員工績效對個別員工進行薪酬調整"
其他,9939,宏全,823820,1317,626,605,577,566,5.72,855,3.23,,V,,本公司產業為傳統製造業，所需生產線人力佔總人數約54%、現場流動性較高且外籍員工佔生產線人力1/4，故整體平均數拉低；將持續積極提升薪資福利制度、培育優秀人才、建立安全、舒適的職場環境等方式提高員工滿意度。
其他,9940,信義,4981024,4362,"1,142","1,040",834,791,2.11,855,3.23,,,,
其他,9941,裕融,705990,613,"1,152","1,131",988,965,8.85,855,3.23,,,,
其他,9942,茂順,438081,878,499,481,441,415,4.64,855,3.23,V,V,,本公司地處南投、屬傳統製造業且產線同仁比例近八成，雖109年度受不景氣影響獲利減少，但每年仍會依據政府法令與個人績效表現調薪，並經薪資調查給予同仁合理的薪酬。
觀光餐旅,9943,好樂迪,459225,902,509,519,469,473,4.41,537,0.56,,V,,以基層人員為主，進入門檻低，70%為高中(含)下學歷，且流動率高，未達一年者佔30%；109年，配合新冠肺炎政策，縮減營業時段、包廂容留人數減少等，影響各項獎金之領取，造成整體薪資平均數偏低。
其他,9944,新麗,122344,205,597,565,489,393,0.69,855,3.23,,,,
其他,9945,潤泰新,148865,240,620,584,359,386,5.88,855,3.23,,V,,本公司獲利來源中，轉投資收益佔比較高，若排除此部分，獲利表現未優於同業。而量販事業受電商崛起，業績下滑致虧損，此部分人力較多，平均薪資不易拉升。本公司盡力改善量販營運績效，以回饋員工並提升員工福祉。
建材營造,9946,三發地產,31933,38,840,630,781,595,0.57,842,1.82,,,,
綠能環保,9955,佳龍,31110,53,587,543,413,389,-1.19,797,3.81,,,,"1.非擔任主管職務之人數中，直/間接人員及 
  管理人員平均薪資分別為47萬及51萬。
2.因歷年虧損，除年度薪資較少調整外，亦無
  發放較高的非經常性薪資，致非經理人之薪
  資平均數未達50萬元。"
鋼鐵工業,9958,世紀鋼,178276,273,653,593,593,539,3.59,915,0.49,,V,,"1.本公司為鋼構製造業，與鋼鐵業之營業項目並不同，因鋼鐵業營收為材料生產及銷售，然與本公司並不相同。
2.因鋼鐵業項目及技術與本公司之項目與技術有不同之差異性，故其薪資平均數亦不同，無法以同業水準做比較。"
